"Superficie","Superficie_Pared","Area_techo","Altura_Total","Area_acristalamiento","Distri_superficie_acristalada","Carga_calentamiento","Carga_refrigeracion"
51450,29400,11025,700,0,0,1555,2133
51450,29400,11025,700,0,0,1555,2133
51450,29400,11025,700,0,0,1555,2133
51450,29400,11025,700,0,0,1555,2133
56350,31850,12250,700,0,0,2084,2828
56350,31850,12250,700,0,0,2146,2538
56350,31850,12250,700,0,0,2071,2516
56350,31850,12250,700,0,0,1968,2960
58800,29400,14700,700,0,0,1950,2730
58800,29400,14700,700,0,0,1995,2197
58800,29400,14700,700,0,0,1934,2349
58800,29400,14700,700,0,0,1831,2787
61250,31850,14700,700,0,0,1705,2377
61250,31850,14700,700,0,0,1741,2146
61250,31850,14700,700,0,0,1695,2116
61250,31850,14700,700,0,0,1598,2493
63700,34300,14700,700,0,0,2852,3773
63700,34300,14700,700,0,0,2990,3127
63700,34300,14700,700,0,0,2963,3093
63700,34300,14700,700,0,0,2875,3944
66150,41650,12250,700,0,0,2477,2979
66150,41650,12250,700,0,0,2393,2968
66150,41650,12250,700,0,0,2477,2979
66150,41650,12250,700,0,0,2393,2940
68600,24500,22050,350,0,0,607,1090
68600,24500,22050,350,0,0,605,1119
68600,24500,22050,350,0,0,601,1094
68600,24500,22050,350,0,0,604,1117
71050,26950,22050,350,0,0,637,1127
71050,26950,22050,350,0,0,640,1172
71050,26950,22050,350,0,0,637,1129
71050,26950,22050,350,0,0,640,1167
73500,29400,22050,350,0,0,685,1174
73500,29400,22050,350,0,0,679,1205
73500,29400,22050,350,0,0,677,1173
73500,29400,22050,350,0,0,681,1193
75950,31850,22050,350,0,0,718,1240
75950,31850,22050,350,0,0,710,1223
75950,31850,22050,350,0,0,710,1240
75950,31850,22050,350,0,0,710,1214
78400,34300,22050,350,0,0,1085,1678
78400,34300,22050,350,0,0,1054,1680
78400,34300,22050,350,0,0,1077,1675
78400,34300,22050,350,0,0,1056,1667
80850,36750,22050,350,0,0,860,1207
80850,36750,22050,350,0,0,849,1222
80850,36750,22050,350,0,0,845,1208
80850,36750,22050,350,0,0,850,1204
51450,29400,11025,700,0.1,1,2458,2647
51450,29400,11025,700,0.1,1,2463,2637
51450,29400,11025,700,0.1,1,2463,2644
51450,29400,11025,700,0.1,1,2459,2629
56350,31850,12250,700,0.1,1,2903,3292
56350,31850,12250,700,0.1,1,2987,2987
56350,31850,12250,700,0.1,1,2914,2958
56350,31850,12250,700,0.1,1,2809,3433
58800,29400,14700,700,0.1,1,2628,3089
58800,29400,14700,700,0.1,1,2691,2560
